Id,Country ,City ,Borough,Zipcode,Zone,On street,Cross street 1,Cross street 2,Community Board,Council District,Reservation Date,Franchisee Name ,Status,Pole Class,Latitude,Longitude,X Coord.,Y Coord.
13337,USA,New York,Manhattan,10001,A,W 29th St,10th Ave,11th Ave,104,3,9/22/2016,Crown Castle NG,Proposed,CITY,40.7520863,-74.0028585,983458,213282
12876,USA,New York,Manhattan,10001,A,9th Ave,W 31st St,Muhammad Ali Way,104,3,9/9/2016,Crown Castle Fiber,Approved,CITY,40.7516087,-73.997755,984872,213108
12872,USA,New York,Manhattan,10001,A,W 28th St,11th Ave,10th Ave,104,3,9/9/2016,Crown Castle Fiber,Installed,CITY,40.7520423,-74.0045549,982988,213266
12621,USA,New York,Manhattan,10001,A,8th Ave,W 35th St,W 34th St,104,3,9/9/2016,Crown Castle Fiber,Installed,CITY,40.7528629,-73.9931531,986147,213565
11934,USA,New York,Manhattan,10001,A,11 AVE,W30 ST,W29 ST,104,3,5/7/2016,Extenet II,Installed,CITY,40.7532445,-74.0039955,983143,213704
11928,USA,New York,Manhattan,10001,A,6TH AVE,W25 ST,W24 ST,104,3,5/7/2016,Extenet II,Installed,CITY,40.7441565,-73.9920461,986454,210393
11708,USA,New York,Manhattan,10001,A,9th Ave,W 33rd St,W 32nd St,104,3,3/24/2016,Crown Castle Solutions,Installed,CITY,40.7526078,-73.9967191,985159,213472
11707,USA,New York,Manhattan,10001,A,9th Ave,W 35th St,W 34th St,104,3,3/24/2016,Crown Castle Solutions,Installed,CITY,40.7539472,-73.9957518,985427,213960
11692,USA,New York,Manhattan,10001,A,W 31st St,8th Ave,9th Ave,104,3,3/24/2016,Crown Castle Solutions,Approved,CITY,40.7504092,-73.9949688,985644,212671
11000,USA,New York,Manhattan,10001,A,W 30th St,Dyer Av,10th Ave,104,3,10/16/2015,Crown Castle NG,Approved,CITY,40.7516774,-73.9997365,984323,213133
10987,USA,New York,Manhattan,10001,A,W 31st St,9th Ave,8th Ave,104,3,10/16/2015,Crown Castle NG,Approved,CITY,40.7513562,-73.9975313,984934,213016
10986,USA,New York,Manhattan,10001,A,W 34th St,Dyer Av,9th Ave,104,3,10/16/2015,Crown Castle NG,Approved,CITY,40.753799,-73.9970403,985070,213906
10985,USA,New York,Manhattan,10001,A,10th Ave,W 33rd St,W 34th St,104,3,10/16/2015,Crown Castle NG,Approved,CITY,40.7540461,-73.999704,984332,213996
10984,USA,New York,Manhattan,10001,A,W 30th St,12th Ave,11th Ave,104,3,10/16/2015,Crown Castle NG,Approved,CITY,40.7540459,-74.0058652,982625,213996
10983,USA,New York,Manhattan,10001,A,W 33rd St,12th Ave,11th Ave,104,3,10/16/2015,Crown Castle NG,Approved,CITY,40.7558932,-74.0041509,983100,214669
10613,USA,New York,Manhattan,10001,A,W34TH ST.,11TH AVE.,10TH AVE.,104,3,2/28/2015,Extenet II,Approved,CITY,40.7556188,-74.0013716,983870,214569
10389,USA,New York,Manhattan,10001,A,W28TH ST.,12TH AVE.,11TH AVE.,104,3,10/10/2014,Extenet II,Installed,CITY,40.7529178,-74.0067061,982392,213585
10382,USA,New York,Manhattan,10001,A,11TH AVE.,W25TH ST.,26TH ST.,104,3,10/10/2014,Extenet II,Installed,CITY,40.7503295,-74.0061139,982556,212642
10381,USA,New York,Manhattan,10001,A,9TH AVE.,W26TH ST.,27TH ST.,104,3,10/10/2014,Extenet II,Installed,CITY,40.7484468,-73.9997546,984318,211956
9771,USA,New York,Manhattan,10001,A,W33RD ST.,12TH AVE.,11TH AVE.,104,3,12/20/2013,Extenet II,Approved,CITY,40.7560002,-74.004732,982939,214708
9753,USA,New York,Manhattan,10001,A,9TH AVENUE,W28TH ST.,W29TH ST.,104,3,12/20/2013,Extenet II,Installed,CITY,40.7497505,-73.9991085,984497,212431
9752,USA,New York,Manhattan,10001,A,9TH AVENUE,W29TH ST.,W28TH ST.,104,3,12/20/2013,Extenet II,Installed,CITY,40.7500991,-73.9985419,984654,212558
9751,USA,New York,Manhattan,10001,A,9TH AVENUE,W30TH ST.,W31TH ST.,104,3,12/20/2013,Extenet II,Installed,CITY,40.7508896,-73.9979716,984812,212846
