Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Zipcode,Community Board,Council District
11304,12/15/2015,ZenFi,Proposed,CITY,Brooklyn,1003081.0,192503,40.695033,-73.932092,B,Hart St,Broadway,Stuyvesant Ave,11221,303,36
8376,02/25/2011,Crown Castle NG,Installed,CITY,Brooklyn,999704.0,189040,40.6855344,-73.944278,B,Tompkins Ave,Madison St,Monroe St,11221,303,36
22415,09/04/2019,ZenFi,Approved,CITY,Brooklyn,1003444.0,192493,40.6950047,-73.9307829,B,Lawton St,Broadway,Bushwick Ave,11221,304,34
22338,08/31/2019,Mobilitie II,Proposed,CITY,Brooklyn,1006603.0,190143,40.6885471,-73.9193988,B,Madison Street,Broadway,Bushwick Avenue,11221,304,34
21925,08/14/2019,ExteNet I,Approved,CITY,Brooklyn,1005242.0,192322,40.6945313,-73.9242996,B,Evergreen Ave,Harman St,Himrod St,11221,304,34
21924,08/14/2019,ExteNet I,Approved,CITY,Brooklyn,1004826.0,192632,40.6953832,-73.9257988,B,Evergreen Ave,Stanhope St,Stockholm St,11221,304,34
21922,08/14/2019,ExteNet I,Approved,CITY,Brooklyn,1003836.0,193515,40.697809,-73.9293663,B,Suydam St,Evergreen Ave,Willoughby Ave,11221,304,34
16943,01/20/2018,Mobilitie II,Installed,CITY,Brooklyn,1004769.0,192116,40.693967,-73.9260059,B,Bushwick Avenue,Himrod Street,Kossuth Place,11221,304,34
16937,01/20/2018,Mobilitie II,Installed,CITY,Brooklyn,1007124.0,190392,40.6892292,-73.9175193,B,Bushwick Avenue,Putnam Avenue,Cornelia Street,11221,304,34
15469,11/22/2017,Mobilitie I,Installed,CITY,Brooklyn,1004486.0,193975,40.6990702,-73.9270208,B,Central Avenue,Suydam Street,Hart Street,11221,304,34
14693,04/27/2017,Mobilitie I,Installed,CITY,Brooklyn,1003098.0,193223,40.6970092,-73.9320286,B,Willoughby Avenue,Bushwick Avenue,Broadway,11221,304,34
14681,04/27/2017,Mobilitie I,Installed,CITY,Brooklyn,1004407.0,192941,40.6962323,-73.9273088,B,Evergreen Avenue,Dekalb Avenue,Cedar St,11221,304,34
14381,11/05/2016,Mobilitie II,Installed,CITY,Brooklyn,1006288.0,191015,40.6909413,-73.9205318,B,Bushwick Ave,Gates Ave,Palmetto St,11221,304,34
13963,11/05/2016,Mobilitie II,Installed,CITY,Brooklyn,1004058.0,192561,40.69519,-73.9285685,B,Bushwick Ave,Dekalb Ave,Dodworth St,11221,304,34
11520,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,1007291.0,191050,40.6910349,-73.9169149,B,MADISON ST,EVERGREEN AVE,Bushwick Ave,11221,304,34
11515,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,1003667.0,193055,40.6965468,-73.9299771,B,HART ST,BUSHWICK AVE,Evergreen Ave,11221,304,34
8794,06/21/2012,Crown Castle NG,Installed,CITY,Brooklyn,1004135.0,193127,40.6967434,-73.9282892,B,Evergreen Ave,Cedar St,Hart St,11221,304,34
8633,11/22/2011,Crown Castle NG,Installed,CITY,Brooklyn,1005607.0,193143,40.6967839,-73.9229807,B,Central Ave,Himrod St,Harman St,11221,304,34
22401,09/04/2019,ZenFi,Approved,CITY,Brooklyn,996558.0,206818,40.7343357,-73.9555889,B,Freeman St,Manhattan Ave,Franklin St,11222,301,33
22370,08/31/2019,ExteNet I,Approved,CITY,Brooklyn,995461.0,205968,40.7320041,-73.9595486,B,West St,India St,Huron St,11222,301,33
22267,08/23/2019,Extenet II,Proposed,CITY,Brooklyn,997665.0,202916,40.723624,-73.9516023,B,Bedford Ave,Lorimer St,Nassau Ave,11222,301,33
22263,08/23/2019,Extenet II,Approved,CITY,Brooklyn,999832.0,204385,40.7276525,-73.9437809,B,Norman Ave,N Henry St,Monitor St,11222,301,33
22261,08/23/2019,Extenet II,Approved,CITY,Brooklyn,996479.0,204221,40.7272077,-73.9558787,B,Calyer St,Clifford Pl,Banker St,11222,301,33
22252,08/23/2019,Extenet II,Approved,CITY,Brooklyn,998107.0,203037,40.7239555,-73.9500074,B,Nassau Ave,Leonard St,Manhattan Ave,11222,301,33
22251,08/23/2019,Extenet II,Approved,CITY,Brooklyn,999193.0,202203,40.7216646,-73.9460913,B,McGuinness Blvd S,Engert Ave,Broome St,11222,301,33
22250,08/23/2019,Extenet II,Approved,CITY,Brooklyn,999635.0,201727,40.7203573,-73.9444978,B,McGuinness Blvd S,Meeker Ave,Humboldt St,11222,301,33
22249,08/23/2019,Extenet II,Approved,CITY,Brooklyn,998817.0,201088,40.7186048,-73.9474501,B,Richardson St,Meeker Ave,Leonard St,11222,301,33
20920,03/06/2019,ZenFi,Approved,UTILITY,Brooklyn,995447.0,206095,40.7323527,-73.9595989,B,West St,Huron St,India St,11222,301,33
19306,04/16/2018,Mobilitie I,Installed,UTILITY,Brooklyn,1002040.0,203895,40.7263034,-73.9358159,B,Varick St,Nassau Ave,Meeker Ave,11222,301,33
18830,01/26/2018,ZenFi,Installed,CITY,Brooklyn,997024.0,205350,40.7303057,-73.9539102,B,Greenpoint Avenue,Manhattan Avenue,McGuinness Boulevard,11222,301,33
17573,12/29/2017,Extenet II,Approved,CITY,Brooklyn,999660.0,201750,40.7204204,-73.9444075,B,McGuinness Blvd S,Meeker Ave,Humboldt St,11222,301,33
17570,12/29/2017,Extenet II,Installed,CITY,Brooklyn,998150.0,203110,40.7241558,-73.9498521,B,Nassau Ave,Leonard St,Eckford St,11222,301,33
17548,12/29/2017,Extenet II,Installed,CITY,Brooklyn,998898.0,201101,40.7186404,-73.9471579,B,Meeker Ave,Richardson St,Manhattan Ave,11222,301,33
17546,12/29/2017,Extenet II,Installed,CITY,Brooklyn,998961.0,202179,40.7215991,-73.9469283,B,Graham Ave,Engert Ave,Broome St,11222,301,33
16910,01/08/2018,Mobilitie II,Installed,CITY,Brooklyn,997430.0,207443,40.7360499,-73.9524412,B,McGuinness Boulevard,Dupont Street,Eagle Street,11222,301,33
16343,01/08/2018,Mobilitie II,Installed,CITY,Brooklyn,997858.0,203647,40.7256302,-73.9509045,B,Norman Avenue,Leonard Street,Manhattan Avenue,11222,301,33
15323,11/22/2017,Mobilitie I,Installed,CITY,Brooklyn,996611.0,207603,40.7364902,-73.9553962,B,Manhattan Avenue,Clay Street,Dupont Street,11222,301,33
14675,04/27/2017,Mobilitie I,Installed,CITY,Brooklyn,998668.0,203274,40.7246051,-73.947983,B,McGuinness Blvd,Nassau Avenue,Driggs Ave,11222,301,33
14674,04/27/2017,Mobilitie I,Installed,CITY,Brooklyn,996875.0,203950,40.7264633,-73.9544505,B,Meserole Avenue,Guernsey Street,Dobbin Street,11222,301,33
13957,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,998540.0,201271,40.7191075,-73.948449,B,Leonard St,Baynard St,Richardson St,11222,301,33
12441,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,998398.0,203882,40.7262743,-73.9489558,B,McGuinness Blvd,Norman Ave,Nassau Ave,11222,301,33
22264,08/23/2019,Extenet II,Approved,CITY,Brooklyn,1001094.0,202369,40.7221168,-73.9392328,B,Lombardy St,Morgan Ave,Kingsland Ave,11222,301,34
15901,11/16/2017,Extenet II,Installed,UTILITY,Brooklyn,988571.0,160579,40.6074275,-73.9844381,B,W 11th St,Ave P,Kings Hwy,11223,311,44
15392,11/22/2017,Mobilitie I,Approved,CITY,Brooklyn,989936.0,160789,40.6080032,-73.979522,B,Avenue P,W 6th Street,W 5th Street,11223,311,44
15349,11/22/2017,Mobilitie I,Installed,CITY,Brooklyn,988461.0,159838,40.6053937,-73.9848348,B,Quentin Road,W 12th Street,W 11th Street,11223,311,44
18642,01/26/2018,ZenFi,Installed,CITY,Brooklyn,994795.0,160497,40.6071972,-73.9620228,B,Coney Island Avenue,Kings Highway,Avenue R,11223,315,44
16678,11/28/2017,Extenet II,Approved,UTILITY,Brooklyn,989455.0,159775,40.6052202,-73.9812551,B,Kings Hwy,E 8th St,E 9th St,11223,311,47
15232,10/24/2017,Extenet II,Installed,UTILITY,Brooklyn,989925.0,156618,40.5965546,-73.9795651,B,W 8th ST,Ave U,Ave T,11223,311,47
13535,09/23/2016,Mobilitie I,Proposed,UTILITY,Brooklyn,990632.0,157501,40.5989778,-73.9770184,B,W 5th St,Avenue T,Avenue S,11223,311,47
15643,01/08/2018,Mobilitie II,Installed,CITY,Brooklyn,989058.0,153899,40.589092,-73.982689,C,Avenue X,W 13th Street,W 12th Street,11223,313,47
13864,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,993451.0,152427,40.5850482,-73.9668742,C,Ocean Parkway,Nixon Ct,Shore Parkway,11223,313,47
13636,09/29/2016,Mobilitie I,Installed,UTILITY,Brooklyn,988808.0,155598,40.5937556,-73.9835879,C,Avenue V,W 13th St,W 12th St,11223,313,47
13529,09/23/2016,Mobilitie I,Installed,UTILITY,Brooklyn,990195.0,155182,40.5926129,-73.9785941,C,86th St,W 8th St,W 8th St,11223,313,47
12040,07/07/2016,Mobilitie I,Installed,UTILITY,Brooklyn,989013.0,156121,40.595191,-73.9828494,C,86Th St,W 12Th St,W 11Th St,11223,313,47
11456,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,988945.0,154674,40.5912193,-73.9830953,C,Avenue W,W 13th St,W 12 St,11223,313,47
20793,01/28/2019,ZenFi,Installed,UTILITY,Brooklyn,994978.0,157339,40.5985289,-73.9613688,B,Coney Island Av,Avenue U,Avenue T,11223,315,47
18953,02/13/2018,Mobilitie I,Installed,UTILITY,Brooklyn,993165.0,155522,40.5935436,-73.9678997,B,East 3rd St,Avenue W,Gravesend Neck Rd,11223,315,47
16656,11/28/2017,Extenet II,Approved,UTILITY,Brooklyn,991484.0,154251,40.5900565,-73.9739539,B,Avenue X,McDonald Ave,W 3rd St,11223,315,47
15549,11/02/2017,Crown Castle NG,Proposed,UTILITY,Brooklyn,994516.0,157060,40.5977637,-73.9630329,B,E 8th St,Avenue U,Avenue V,11223,315,47
15347,11/22/2017,Mobilitie I,Installed,CITY,Brooklyn,993943.0,157128,40.597951,-73.9650961,B,Avenue U,Ocean Parkway,E 7th Street,11223,315,47
14422,11/22/2016,Mobilitie I,Installed,UTILITY,Brooklyn,994089.0,157926,40.6001412,-73.9645692,B,E 7th St,Avenue T,Avenue U,11223,315,47
13865,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,993692.0,158756,40.6024198,-73.9659976,B,Ocean Parkway,Avenue S,Avenue T,11223,315,47
12050,07/08/2016,Mobilitie I,Installed,UTILITY,Brooklyn,994923.0,158061,40.6005107,-73.9615657,B,Avenue T,Coney Island Ave,E 9Th St,11223,315,47
18131,12/29/2017,Crown Castle NG,Approved,UTILITY,Brooklyn,995054.0,158075,40.600549,-73.9610939,B,Avenue T,Coney Island Ave,E 12th St,11223,315,48
17612,12/29/2017,Extenet II,Approved,CITY,Brooklyn,995066.0,157302,40.5984273,-73.961052,B,Coney Island Ave,Ave U,Ave T,11223,315,48
13866,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,994294.0,158907,40.6028336,-73.9638295,B,Avenue S,E 8th St,E 9th St,11223,315,48
12409,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,995128.0,159842,40.605399,-73.9608246,B,Avenue R,E 12th St,Coney Island Ave,11223,315,48
22135,08/23/2019,Extenet II,Approved,CITY,Brooklyn,989405.0,149014,40.5756835,-73.9814433,C,Surf Ave,Stillwell Ave,W 15th St,11224,313,47
20414,10/12/2018,ZenFi,Installed,UTILITY,Brooklyn,988081.0,150204,40.5789505,-73.9862087,C,Neptune Av,W 19 ST,Cropsey Av,11224,313,47
18654,01/26/2018,ZenFi,Approved,CITY,Brooklyn,989235.0,150244,40.5790597,-73.9820544,C,Stillwell Avenue,Neptune Avenue,Mermaid Avenue,11224,313,47
18464,01/18/2018,ExteNet I,Installed,CITY,Brooklyn,984438.0,148016,40.5729456,-73.9993233,C,Surf Ave,W 33rd St,W 35th St,11224,313,47
17915,12/29/2017,Extenet II,Approved,CITY,Brooklyn,984865.0,147636,40.5719026,-73.9977863,C,W 32nd St,Surf Ave,Dead End,11224,313,47
17618,12/29/2017,Extenet II,Approved,CITY,Brooklyn,984210.0,149606,40.5773099,-74.000144,C,W 33rd St,Neptune Ave,Bayview Ave,11224,313,47
17175,12/05/2017,Extenet II,Approved,UTILITY,Brooklyn,986927.0,147738,40.5721822,-73.990364,C,W 24 St,Boardwalk,Surf Ave,11224,313,47
16665,11/28/2017,Extenet II,Approved,UTILITY,Brooklyn,985814.0,148925,40.5754405,-73.99437,C,W 28th  St,Mermaid Ave,Surf Ave,11224,313,47
