Id,Reservation Date,Franchisee Name ,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Construction Completed? (Y/N),Zipcode,Community Board,Council District
12491,08/10/2016,Mobilitie I,CITY,Queens,1044424,201571,40.7197380,-73.7829210,B,Grand Central Pkwy,Avon St,Randor St,,,,,,Y,11432,408,24
12352,08/10/2016,Mobilitie I,CITY,Queens,1039557,198447,40.7111950,-73.8005040,B,164th St,86th Rd,86th Ave,,,,,,Y,11432,408,24
12351,08/10/2016,Mobilitie I,CITY,Queens,1038470,197649,40.7090110,-73.8044320,B,Parsons Blvd,87th Ave,Normal Rd,,,,,,Y,11432,408,24
12228,08/10/2016,Mobilitie I,CITY,Queens,1044627,199176,40.7131630,-73.7822100,B,Hillside Ave,Midland Pkwy,181st St,,,,,,Y,11432,408,24
12064,07/08/2016,Mobilitie I,UTILITY,Queens,1040940,198623,40.7116690,-73.7955140,B,168Th St,Highland Ave,Hillside Ave,,,,,,Y,11432,408,24
13113,08/25/2016,Mobilitie I,UTILITY,Queens,1036593,196912,40.7070000,-73.8112070,B,87th Ave,144th St,148TH ST,,,,,,Y,11435,408,24
12527,08/10/2016,Mobilitie I,CITY,Queens,1036909,197748,40.7092930,-73.8100610,B,148th St,85th Dr,86th Ave,,,,,,Y,11435,408,24
12526,08/10/2016,Mobilitie I,CITY,Queens,1034024,198415,40.7111400,-73.8204620,B,Manton St,Main St,83rd Ave,,,,,,Y,11435,408,24
12524,08/10/2016,Mobilitie I,CITY,Queens,1034082,198990,40.7127180,-73.8202490,B,83rd Ave,139th St,Manton St,,,,,,Y,11435,408,24
12552,08/10/2016,Mobilitie I,CITY,Queens,1020157,203872,40.7261850,-73.8704520,B,Woodhaven Blvd,62nd Rd,62nd Ave,,,,,,Y,11379,405,29
12478,08/10/2016,Mobilitie I,CITY,Queens,1019538,204318,40.7274120,-73.8726830,B,85th St,61st Rd,Eliot Ave,,,,,,Y,11379,405,29
13262,09/09/2016,Crown Castle NG,CITY,Queens,1027890,198343,40.7109750,-73.8425880,B,75th Rd,Kessel St,Whitson St,,,,,,N,11375,406,29
12632,08/10/2016,Mobilitie I,CITY,Queens,1027129,202251,40.7217050,-73.8453090,B,Queens Blvd,70th Rd,70th Ave,MacDonald Park,,,,,Y,11375,406,29
12581,08/10/2016,Mobilitie I,CITY,Queens,1030598,199893,40.7152150,-73.8328100,B,78th Ave,Queens Blvd,77th Ave,,,,,,Y,11375,406,29
12551,08/10/2016,Mobilitie I,CITY,Queens,1026030,203203,40.7243230,-73.8492670,B,Queens Blvd,68th Dr,69th Ave,,,,,,Y,11375,406,29
12493,08/10/2016,Mobilitie I,CITY,Queens,1026964,203642,40.7255240,-73.8458950,B,108th St,68th Dr,69th Ave,,,,,,Y,11375,406,29
12492,08/10/2016,Mobilitie I,CITY,Queens,1026185,203964,40.7264110,-73.8487030,B,Yellowstone Blvd,68th Ave,67th Dr,,,,,,Y,11375,406,29
12479,08/10/2016,Mobilitie I,CITY,Queens,1025515,207469,40.7360350,-73.8510990,B,108th St,62nd Dr,62nd Rd,,,,,,Y,11375,406,29
12476,08/10/2016,Mobilitie I,CITY,Queens,1024557,202247,40.7217060,-73.8545870,B,Yellowstone Blvd,Clyde St,Burns St,,,,,,Y,11375,406,29
12325,08/10/2016,Mobilitie I,CITY,Queens,1026323,197976,40.7099750,-73.8482430,B,Metropolitan Ave,72nd Ave,71st Dr,,,,,,Y,11375,406,29
12229,08/10/2016,Mobilitie I,CITY,Queens,1025605,203033,40.7238590,-73.8508020,B,68th Dr,Booth St,Queens Blvd,,,,,,Y,11375,406,29
12175,08/10/2016,Mobilitie I,CITY,Queens,1029679,201427,40.7194310,-73.8361150,B,113th St,75th Ave,72nd Dr,,,,,,Y,11375,406,29
12173,08/10/2016,Mobilitie I,CITY,Queens,1025321,200733,40.7175470,-73.8518400,B,69th Ave,Groton St,Fleet St,,,,,,Y,11375,406,29
12172,08/10/2016,Mobilitie I,CITY,Queens,1023809,200678,40.7174030,-73.8572950,B,Yellowstone Blvd,Seleridge St,Juno St,,,,,,Y,11375,406,29
11256,12/14/2015,ZenFi,CITY,Queens,1030913,199578,40.7143490,-73.8316760,B,queens blvd,union tpk,78th Ave,,,,,,Y,11375,406,29
12592,08/10/2016,Mobilitie I,CITY,Queens,1022869,204750,40.7285840,-73.8606630,B,64th Rd,Saunder ST,Queens Blvd,,,,,,Y,11374,406,29
12591,08/10/2016,Mobilitie I,CITY,Queens,1021839,201835,40.7205870,-73.8643950,B,Fitchett St,65th Ave,64th Rd,,,,,,Y,11374,406,29
12523,08/10/2016,Mobilitie I,CITY,Queens,1023839,203714,40.7257360,-73.8571690,B,66th Ave,Wetherole St,Booth St,,,,,,Y,11374,406,29
12477,08/10/2016,Mobilitie I,CITY,Queens,1023381,200396,40.7166310,-73.8588410,B,Alderton St,67th Dr,68th Ave,,,,,,Y,11374,406,29
12326,08/10/2016,Mobilitie I,CITY,Queens,1022659,202272,40.7217830,-73.8614350,B,65th Dr,Cromwell Crescent,Boelsen Crescent,,,,,,Y,11374,406,29
12186,08/10/2016,Mobilitie I,CITY,Queens,1025322,204459,40.7277740,-73.8518140,B,102nd St,67th Ave,66th Rd,,,,,,Y,11374,406,29
12185,08/10/2016,Mobilitie I,CITY,Queens,1023652,204824,40.7287830,-73.8578370,B,65th Ave,Queens Blvd,98th ST,,,,,,Y,11374,406,29
12183,08/10/2016,Mobilitie I,CITY,Queens,1021967,206240,40.7326770,-73.8639090,B,Junction Blvd,62nd Dr,Horace Harding Expy,Lost Battalion Hall Recreation Center,,,,,Y,11374,406,29
12171,08/10/2016,Mobilitie I,CITY,Queens,1022854,200857,40.7178980,-73.8607390,B,Fitchett St,67th Ave,66th Rd,,,,,,Y,11374,406,29
12329,08/10/2016,Mobilitie I,CITY,Queens,1031364,197851,40.7096070,-73.8300610,B,Austin St,Mowbray Dr,Lefferts Blvd,,,,,,Y,11415,409,29
12314,08/10/2016,Mobilitie I,CITY,Queens,1032228,197681,40.7091350,-73.8269460,B,KEW GARDENS RD,84TH AVE,84TH RD,,,,,,Y,11415,409,29
