Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
17526,998483,227678,40.791588,-73.948599,C,"Crown Castle Fiber, LLC",E 104th St,Park Ave,Lexington Ave,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-31-2017,Yes
17527,1022866,211800,40.747934,-73.860633,B,"Crown Castle Fiber, LLC",104th St,43rd Ave,42nd Ave,Queens,Traffic Light Pole,,,,,,,Dec-22-2017,No
17528,1001609,228424,40.79363,-73.937308,C,"Crown Castle Fiber, LLC",1st Ave,E 112th St,E 114th St,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-31-2017,No
17529,1014038,211551,40.747285,-73.892495,B,"Crown Castle Fiber, LLC",73rd St,Broadway,37th Ave,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
17530,1000673,229747,40.797263,-73.940685,C,"Crown Castle Fiber, LLC",3rd Ave,E 115th St,E 112th St,Manhattan,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: JAMES WELDON JOHNSON SCHOOL,Dec-31-2017,Yes
17531,999867,231787,40.802864,-73.943591,C,"Crown Castle Fiber, LLC",E 120th St,Madison Ave,5th Ave,Manhattan,Streetlight Pole,,,,,,,Dec-31-2017,No
17532,1006226,221975,40.775919,-73.920654,B,"Crown Castle Fiber, LLC",24th Ave,23rd St,21st St,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
17533,984195,184800,40.67391,-74.000198,B,"Extenet Systems, INC. II",Centre St,Court St,Clinton St,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,Yes
17534,1006603,221623,40.774952,-73.919294,B,"Crown Castle Fiber, LLC",24th Ave,Crescent Ave,24th St,Queens,Mixed Traffic And Street Pole,,,,,,,Dec-22-2017,No
17535,989014,186091,40.677452,-73.982825,B,"Extenet Systems, INC. II",4th Ave,Union St,Sackett St,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Dec-29-2017,Yes
17537,1017827,212642,40.750266,-73.878815,B,"Crown Castle Fiber, LLC",37th Ave,88th St,87th St,Queens,Streetlight Pole,,This pole is located within the following historic area: Jackson Heights Historic District,,,,,Dec-22-2017,No
17538,1005298,238764,40.822003,-73.923952,C,"Crown Castle Fiber, LLC",Concourse Village W,E 156th St,E 153rd St,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: BRONX LEADERSHIP ACADEMY II HS,Dec-31-2017,Yes
17539,995381,185453,40.675695,-73.959871,B,"Extenet Systems, INC. II",Classon Ave,Prospect Pl,Park Pl,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Dec-29-2017,Yes
17540,1020910,219207,40.768273,-73.867652,B,"Crown Castle Fiber, LLC",Ditmars Blvd,102nd St,27th Ave,Queens,Streetlight Pole,,,,,,,Dec-22-2017,No
17541,995309,188863,40.685055,-73.960125,B,"Extenet Systems, INC. II",Gates Ave,Irving Pl,Classon Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,Yes
17542,990526,181234,40.66412,-73.977378,B,"Extenet Systems, INC. II",Prospect Park W,10th St,9th St,Brooklyn,Streetlight Pole,,This pole is located within the following historic area: Park Slope Historic District Extension,,,,,Dec-29-2017,Yes
17543,991918,183431,40.670149,-73.972358,B,"Extenet Systems, INC. II",Prospect Park W,Garfield Pl,Montgomery Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,Yes
17544,991644,177745,40.654543,-73.973352,B,"Extenet Systems, INC. II",Prospect Park SW,Vanderbilt St,Reeve Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,Yes
17545,996128,200311,40.716476,-73.957152,B,"Extenet Systems, INC. II",N 6th St,Driggs Ave,Bedford Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,No
17546,998961,202179,40.721599,-73.946928,B,"Extenet Systems, INC. II",Graham Ave,Engert Ave,Broome St,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,No
17547,999952,197552,40.708897,-73.943364,B,"Extenet Systems, INC. II",Graham Ave,Scholes St,Maujer St,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Dec-29-2017,Yes
17548,998898,201101,40.71864,-73.947158,B,"Extenet Systems, INC. II",Meeker Ave,Richardson St,Manhattan Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,No
17550,996236,197155,40.707814,-73.956768,B,"Extenet Systems, INC. II",Rodney St,S 9th St,Division Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,Yes
17551,995260,196470,40.705935,-73.960289,B,"Extenet Systems, INC. II",Lee Ave,Ross St,Wilson St,Brooklyn,Streetlight Pole,,,,,,,Dec-29-2017,No
17552,1000210,246149,40.842283,-73.942318,B,"Crown Castle Fiber, LLC",Fort Washington Ave,Haven Ave,W 169th St,Manhattan,Streetlight Pole,,,,,,,Dec-22-2017,No
17553,1000190,237072,40.817369,-73.942412,C,"Crown Castle Fiber, LLC",Adam Clayton Powell Jr Blvd,W 138th St,W 139th St,Manhattan,Streetlight Pole,,,,,,,Dec-31-2017,Yes
17557,995377,235821,40.813943,-73.959802,B,"Crown Castle Fiber, LLC",Broadway,La Salle St,Tiemann Pl,Manhattan,Traffic Light Pole,,,,,,,Dec-22-2017,No
17558,1011417,251944,40.858161,-73.901791,C,"Crown Castle Fiber, LLC",Morris Ave,E 183rd St,Field Pl,Bronx,Streetlight Pole,,,,,,,Dec-31-2017,Yes
17559,1001200,230698,40.799872,-73.938779,C,"Crown Castle Fiber, LLC",3rd Ave,E 119th St,E 118th St,Manhattan,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: SILBERMAN SCHOOL OF SOCIAL WORK,Dec-31-2017,No
17560,1002361,231318,40.801572,-73.934584,C,"Crown Castle Fiber, LLC",2nd Ave,E 123rd St,E 124th St,Manhattan,Streetlight Pole,,,,,,,Dec-31-2017,Yes
17561,997444,232531,40.80491,-73.952341,C,"Crown Castle Fiber, LLC",W 118th St,St Nicholas Ave,Adam Clayton Powell Jr,Manhattan,Streetlight Pole,,,,,,,Dec-31-2017,No
17562,996196,238300,40.820746,-73.956839,B,"Crown Castle Fiber, LLC",W 135th St,Riverside Dr,Broadway,Manhattan,Streetlight Pole,,,,,,,Dec-22-2017,Yes
17564,1023447,212582,40.750078,-73.858532,B,"Crown Castle Fiber, LLC",108th St,41st Ave,Roosevelt Ave,Queens,Traffic Light Pole,,,,,,,Dec-22-2017,No
17565,998013,234962,40.811581,-73.950281,C,"Crown Castle Fiber, LLC",Frederick Douglass Blvd,W 127th St,W 128th St,Manhattan,Traffic Light Pole,,,,,,,Dec-31-2017,Yes
