Id,X Coord.,Y Coord.,Latitude,Longitude,Zone,Franchisee,On street,Cross street 1,Cross street 2,Borough,Pole type,BID Advisory,Historic Advisory,NYSDOT Advisory,Park Advisory,Port Auth Advisory,School Advisory,Submission date,Equipment Installed? (Yes/No)
15455,1045128,192501,40.694838,-73.780463,B,"Mobilitie, LLC",111th Avenue,172nd Street,173rd Street,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15456,1044056,193469,40.697502,-73.78432,B,"Mobilitie, LLC",171st Street,109th Avenue,108th Drive,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15457,1030263,197276,40.708034,-73.834036,B,"Mobilitie, LLC",Abingdon Road,83rd Avenue,Audley Street,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15458,1030335,195834,40.704076,-73.833786,B,"Mobilitie, LLC",84th Avenue,118th Street,117th Street,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15459,1032509,196559,40.706054,-73.82594,B,"Mobilitie, LLC",Austin Street,126th Street,125th Street,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15460,1033789,195110,40.70207,-73.821334,B,"Mobilitie, LLC",Jamaica Avenue,131st Street,130th Street,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15461,1036807,196335,40.705415,-73.81044,B,"Mobilitie, LLC",Hillside Avenue,146th Street,Sutphin Boulevard,Queens,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,Yes
15462,1026069,199227,40.71341,-73.849151,B,"Mobilitie, LLC",71st Avenue,Kessel Street,Juno Street,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15463,1029546,200083,40.715742,-73.836603,B,"Mobilitie, LLC",Austin Street,76th Road,76th Drive,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15464,1034980,197533,40.708714,-73.817021,B,"Mobilitie, LLC",139th Street,Manton Street,85th Drive,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15465,1035973,198306,40.71083,-73.813433,B,"Mobilitie, LLC",143rd Street,84th Drive,85th Road,Queens,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: PS 117 J KELD/BRIARWOOD SCHOOL,Nov-22-2017,Yes
15466,1034337,217536,40.763621,-73.819191,B,"Mobilitie, LLC",38th Avenue,147th Street,Parsons Boulevard,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15467,1036405,218814,40.767116,-73.811716,B,"Mobilitie, LLC",153rd Street,34th Avenue,35th Avenue,Queens,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15468,997825,187310,40.680789,-73.951057,C,"Mobilitie, LLC",Arlington Place,Macon Street,Fulton Street,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15469,1004486,193975,40.69907,-73.927021,C,"Mobilitie, LLC",Central Avenue,Suydam Street,Hart Street,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15471,1009723,183872,40.671326,-73.908172,C,"Mobilitie, LLC",Glenmore Avenue,Watkins Street,Mother Gaston Boulevard,Brooklyn,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: PS 298 DR BETTY SHABAZZ,Nov-22-2017,Yes
15472,1015165,176703,40.651632,-73.888587,C,"Mobilitie, LLC",Flatlands Avenue,Alabama Avenue,Georgia Avenue,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15474,1002380,187470,40.68122,-73.934633,C,"Mobilitie, LLC",Lewis Avenue,Decatur Street,Bainbridge Street,Brooklyn,Streetlight Pole,,This pole is located within the following historic area: Stuyvesant Heights Historic District,,,,,Nov-22-2017,No
15475,996052,187877,40.682348,-73.957448,C,"Mobilitie, LLC",Claver Place,Jefferson Avenue,Fulton Street,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15476,996110,190137,40.688551,-73.957235,C,"Mobilitie, LLC",Franklin Avenue,Clifton Place,Lafayette Avenue,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15477,1010965,242528,40.832318,-73.903462,C,"Mobilitie, LLC",E 169th Street,Fulton Avenue,3rd Avenue,Bronx,Traffic Light Pole,,,,,,,Nov-22-2017,No
15478,1004691,244119,40.836702,-73.926129,C,"Mobilitie, LLC",Nelson Avenue,W 167th Street,W 168th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15479,1008939,252827,40.860592,-73.910745,C,"Mobilitie, LLC",W 183rd Street,Sedgwick Avenue,Loring Place North,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15481,1013590,258328,40.875676,-73.893907,C,"Mobilitie, LLC",Goulden Avenue,Bedford Park Boulevard West,W 205th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15482,1008121,239516,40.824059,-73.91375,C,"Mobilitie, LLC",E 161st Street,Melrose Avenue,Elton Avenue,Bronx,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,No
15483,1006127,238624,40.821616,-73.920957,C,"Mobilitie, LLC",Morris Avenue,Park Avenue,E 156th Street,Bronx,Traffic Light Pole,,,,,,,Nov-22-2017,Yes
15484,1015691,254650,40.865574,-73.886327,C,"Mobilitie, LLC",Webster Avenue,E 197th Street,E 198th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15486,1010858,238495,40.821249,-73.903865,C,"Mobilitie, LLC",Tinton Avenue,E 161st Street,E 163rd Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15487,1011397,254277,40.864564,-73.901853,C,"Mobilitie, LLC",W 190th Street,Grand Avenue,Davidson Avenue,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15488,1011436,235781,40.813798,-73.901787,C,"Mobilitie, LLC",Avenue St. John,Fox Street,Beck Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15489,1006069,232612,40.805115,-73.921187,C,"Mobilitie, LLC",E 134th Street,Brook Avenue,E 135th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15491,1007069,234480,40.81024,-73.917568,C,"Mobilitie, LLC",Brook Avenue,E 142nd Street,E 141st Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15492,1007967,232786,40.805588,-73.91433,C,"Mobilitie, LLC",E 138th Street,Cypress Avenue,Jackson Avenue,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15493,1010523,235558,40.813189,-73.905087,C,"Mobilitie, LLC",Union Avenue,E 150th Street,E 149th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15494,1008925,233229,40.806801,-73.910868,C,"Mobilitie, LLC",E 141st Street,Concord Avenue,Jackson Avenue,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15496,1013864,241159,40.828552,-73.892992,C,"Mobilitie, LLC",Simpson Street,Home Street,Freeman Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15497,1006973,240374,40.826417,-73.917895,C,"Mobilitie, LLC",Morris Avenue,E 162nd Street,E 161st Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15498,1005578,236847,40.81674,-73.922947,C,"Mobilitie, LLC",Morris Avenue,E 148th Street,E 149th Street,Bronx,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,No
15499,1006189,240695,40.8273,-73.920727,C,"Mobilitie, LLC",Sheridan Avenue,E 162nd Street,E 163rd Street,Bronx,Streetlight Pole,,This pole is located within the following historic area: Grand Concourse Historic District,,,,,Nov-22-2017,No
15500,1005119,241040,40.82825,-73.924592,C,"Mobilitie, LLC",Gerard Avenue,E 162nd Street,E 161st Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15501,1009225,243187,40.834132,-73.909747,C,"Mobilitie, LLC",Clay Avenue,E 169th Street,E 168th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15502,1005487,241766,40.830242,-73.92326,C,"Mobilitie, LLC",Gerard Avenue,E 164th Street,E 162nd Street,Bronx,Streetlight Pole,,This pole is located within the following historic area: Grand Concourse Historic District,,,,,Nov-22-2017,Yes
15504,1013062,248732,40.84934,-73.895858,C,"Mobilitie, LLC",Bathgate Avenue,E 179th Street,E 178th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15505,1012240,250963,40.855466,-73.898819,C,"Mobilitie, LLC",Valentine Avenue,E 182nd Street,E 183rd Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15506,1014593,250804,40.855022,-73.890314,C,"Mobilitie, LLC",3rd Avenue,Lorillard Place,E 184th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15507,1009528,252664,40.860143,-73.908617,C,"Mobilitie, LLC",Andrews Avenue North,W 183rd Street,W Fordham Road,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15508,1014739,255639,40.868292,-73.889765,C,"Mobilitie, LLC",E 197th Street,Briggs Avenue,Bainbridge Avenue,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15509,1014722,243876,40.836006,-73.88988,C,"Mobilitie, LLC",Boston Road,E 173rd Street,Seabury Place,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15511,1013895,246539,40.843318,-73.892856,C,"Mobilitie, LLC",Crotona Avenue,Clinton Avenue,E 176th Street,Bronx,Streetlight Pole,,,This pole may be locate on the following NYS highway: CROSS BRONX EP,,,,Nov-22-2017,Yes
15513,1011966,254834,40.866092,-73.899794,C,"Mobilitie, LLC",Davidson Avenue,W 192nd Street,W Kingsbridge Road,Bronx,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,No
15514,1014068,253649,40.862832,-73.892199,C,"Mobilitie, LLC",Marion Avenue,Dorothea Place,E Fordham Road,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15516,1017316,259210,40.878084,-73.88043,C,"Mobilitie, LLC",Rochambeau Avenue,E 208th Street,E 210th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15517,1014769,258746,40.87682,-73.889642,C,"Mobilitie, LLC",Paul Avenue,W 205th Street,Bedford Park Boulevard West,Bronx,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,No
15518,1010561,249418,40.851231,-73.904895,C,"Mobilitie, LLC",Grand Concourse,E 179th Street,Bush Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15519,1018535,259913,40.880009,-73.876018,C,"Mobilitie, LLC",E Gun Hill Road,King College Place,Tryon Avenue,Bronx,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,Yes
15520,1011705,248391,40.848408,-73.900764,C,"Mobilitie, LLC",Webster Avenue,Valentine Avenue,E 178th Street,Bronx,Streetlight Pole,,,This pole may be locate on the following NYS highway: WEBSTER AV,,,,Nov-22-2017,No
15521,1005543,242320,40.831762,-73.923056,C,"Mobilitie, LLC",E 165th Street,River Avenue,Gerard Avenue,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15522,1015910,251060,40.85572,-73.885552,C,"Mobilitie, LLC",Belmont Avenue,E 188th Street,E 187th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15523,1006558,248797,40.849537,-73.919366,C,"Mobilitie, LLC",Montgomery Avenue,W 176th Street,W 175th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15525,1014137,255306,40.86738,-73.891943,C,"Mobilitie, LLC",Valentine Avenue,E 196th Street,E 194th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15526,1007461,235510,40.813066,-73.916148,C,"Mobilitie, LLC",Brook Avenue,E 146th Street,E 147th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15527,1008182,238433,40.821087,-73.913533,C,"Mobilitie, LLC",Elton Avenue,E 157th Street,E 156th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15528,1009199,237656,40.818951,-73.909862,C,"Mobilitie, LLC",E 156th Street,Eagle Avenue,Stanns Avenue,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15529,1015987,236938,40.816959,-73.885341,C,"Mobilitie, LLC",Lafayette Avenue,Longfellow Avenue,Bryant Avenue,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: HYDE LEADERSHIP CHARTER SCHOOL GRADES K-8,Nov-22-2017,No
15530,1004067,241791,40.830314,-73.928391,C,"Mobilitie, LLC",Jerome Avenue,Anderson Avenue,E 164th Street,Bronx,Streetlight Pole,,,,,,,Nov-22-2017,No
15533,995235,232770,40.805569,-73.96032,B,"Mobilitie, LLC",W 115th Street,Morningside Drive,Amsterdam Avenue,Manhattan,Streetlight Pole,,,,,,,Nov-22-2017,No
15534,1003628,252152,40.858752,-73.929947,B,"Mobilitie, LLC",Bogardus Place,Hillside Avenue,Ellwood Street,Manhattan,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15536,996820,163733,40.616077,-73.954724,B,"Mobilitie, LLC",Ocean Avenue,Avenue N,Avenue O,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Nov-22-2017,No
15537,1043681,246644,40.843456,-73.785203,B,Crown Castle NG East LLC,City Island Ave,Winters St,Earley St,Bronx,Utility Pole,,,,,,,Nov-02-2017,No
15539,1042961,249355,40.850902,-73.787781,B,Crown Castle NG East LLC,Bowne St,City Island Ave,Minnieford Ave,Bronx,Utility Pole,,,,,,,Nov-02-2017,Yes
15540,1042596,250352,40.85364,-73.789092,B,Crown Castle NG East LLC,Minnieford Ave,Cross St,Kilroe St,Bronx,Utility Pole,,,,,,,Nov-02-2017,Yes
15541,989275,148390,40.573971,-73.981912,B,Crown Castle NG East LLC,W 15th St,Boardwalk,Bowery St,Brooklyn,Utility Pole,,,,,,,Nov-02-2017,No
15542,987679,148547,40.574402,-73.987657,B,Crown Castle NG East LLC,W 21st St,Surf Ave,Boardwalk,Brooklyn,Utility Pole,,,,,,,Nov-02-2017,No
15545,986632,154835,40.591662,-73.991423,B,Crown Castle NG East LLC,Bay 41st St,Harway Ave,Cropsey Ave,Brooklyn,Utility Pole,,,,,,,Nov-02-2017,No
15546,986371,155270,40.592856,-73.992363,B,Crown Castle NG East LLC,25th Ave,Harway Ave,Bath Ave,Brooklyn,Utility Pole,,,,,,,Nov-02-2017,No
15548,985267,157134,40.597973,-73.996338,B,Crown Castle NG East LLC,Bath Ave,Bay 31st St,Bay 32nd St,Brooklyn,Utility Pole,,,,,,,Nov-02-2017,No
15550,995829,164951,40.619421,-73.958291,B,"Mobilitie, LLC",E 17th Street,Bay Avenue,Chestnut Avenue,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,No
15551,983506,161902,40.61106,-74.00268,B,Crown Castle NG East LLC,82nd St,17th Ave,16th Ave,Brooklyn,Utility Pole,,,,,,,Nov-03-2017,No
15552,985158,165296,40.620376,-73.996729,B,Crown Castle NG East LLC,16th Ave,68th St,67th St,Brooklyn,Utility Pole,,,,,,,Nov-03-2017,No
15553,999394,168846,40.630107,-73.945441,B,Crown Castle NG East LLC,Aurelia Ct,E 32nd St,Flatbush Ave,Brooklyn,Utility Pole,,,,,,,Nov-03-2017,No
15554,998255,168873,40.630183,-73.949544,B,Crown Castle NG East LLC,E 28th St,Dead End,Avenue I,Brooklyn,Utility Pole,,,,,,,Nov-03-2017,No
15555,1000066,170282,40.634047,-73.943017,B,Crown Castle NG East LLC,E 35th St,Glenwood Rd,Avenue H,Brooklyn,Utility Pole,,,,,,,Nov-03-2017,No
15556,1000224,171595,40.637651,-73.942444,B,Crown Castle NG East LLC,Brooklyn Ave,Farragut Rd,Foster Ave,Brooklyn,Utility Pole,,,,,,,Nov-03-2017,No
15558,1015719,177279,40.653211,-73.886588,C,"Extenet Systems, Inc.",Pennsylvania Ave,Flatlands Ave,Cozine Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15559,998674,230199,40.798507,-73.947904,C,"Extenet Systems, Inc.",5th Ave,112th St,115th St,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15561,1001835,229497,40.796575,-73.936489,C,"Extenet Systems, Inc.",E 116th St,1st Ave,2nd Ave,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,No
15562,1002838,230643,40.799718,-73.932863,C,"Extenet Systems, Inc.",1st Ave,E 120th St,E 124th St,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15563,1002542,229949,40.797814,-73.933934,C,"Extenet Systems, Inc.",1st Ave,E 119th St,E 118th St,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15565,1001917,230374,40.798982,-73.93619,C,"Extenet Systems, Inc.",2nd Ave,E 119th St,E 120th ST,Manhattan,Mixed Traffic And Street Pole,,,,,,,Dec-01-2017,Yes
15566,999488,232898,40.805914,-73.944957,C,"Extenet Systems, Inc.",W 123rd St,Mt Morris Park W,Lenox Ave,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Mount Morris Park Historic District,,,,,Dec-01-2017,Yes
15567,1002234,234926,40.811475,-73.935033,C,"Extenet Systems, Inc.",E 135th St,Park Ave,Madison Ave,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15568,1002358,236234,40.815065,-73.934581,C,"Extenet Systems, Inc.",Madison Ave,E 138th St,5th Ave,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15569,1001683,235622,40.813386,-73.937022,C,"Extenet Systems, Inc.",5th Ave,E 136th St,E 135th St,Manhattan,Traffic Light Pole,,,,,,,Dec-01-2017,Yes
15572,1006444,235524,40.813107,-73.919822,C,"Extenet Systems, Inc.",Willis Ave,E 144th St,E 145th St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15573,1007747,236163,40.814857,-73.915113,C,"Extenet Systems, Inc.",E 149th St,Brook Ave,Bergen Ave,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,No
15576,1001758,237842,40.81948,-73.936745,C,"Extenet Systems, Inc.",Malcolm X Blvd,W 143rd St,W 145th St,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15578,1003410,236990,40.817138,-73.930779,C,"Extenet Systems, Inc.",E 144th St,Exterior St,Gerard Ave,Bronx,Streetlight Pole,,,This pole may be locate on the following NYS highway: MAJOR DEEGAN EP,,,,Dec-01-2017,Yes
15581,1001215,238927,40.822459,-73.938704,C,"Extenet Systems, Inc.",7th Ave,W 146th St,W 147th St,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15582,1003897,238910,40.822406,-73.929014,C,"Extenet Systems, Inc.",River Ave,E 151st St,E 150th St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15583,1005594,239425,40.823816,-73.922881,C,"Extenet Systems, Inc.",Concourse Village W,E 156th St,E 158th St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15584,1007264,238799,40.822094,-73.916849,C,"Extenet Systems, Inc.",Courtlandt Ave,E 157th St,E 156th St,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: PS/MS 029 MELROSE SCHOOL,Dec-01-2017,No
15585,1012243,238656,40.821687,-73.89886,C,"Extenet Systems, Inc.",Rev James A Polite Ave,E 163rd St,E 164th St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15586,989498,221307,40.774111,-73.981052,A,Mobilitie2,Columbus Avenue,W 67th Street,W 66th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jan-28-2018,No
15587,998682,219985,40.770473,-73.947897,A,Mobilitie2,East End Avenue,E 79th Street,E 80th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jan-28-2018,No
15588,990653,228185,40.792989,-73.976876,A,Mobilitie2,Riverside Drive,W 91st Street,W 92nd Street,Manhattan,Streetlight Pole,,This pole is located within the following historic area: Riverside Park and Riverside Drive,,This pole is located within the following park: Joan Of Arc Park,,,Jan-28-2018,No
15589,1000115,172893,40.641214,-73.942834,B,Crown Castle NG East LLC,Brooklyn Ave,Avenue D,Newkirk Ave,Brooklyn,Utility Pole,,,,,,,Nov-09-2017,No
15590,982007,205393,40.730433,-74.008093,A,Mobilitie2,Greenwich Street,Leroy Street,Morton Street,Manhattan,Streetlight Pole,,,,,,,Jan-28-2018,No
15593,987819,206378,40.733136,-73.987122,A,Mobilitie2,3rd Avenue,E 14th Street,E 13th Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jan-28-2018,No
15594,981883,206849,40.734429,-74.008541,A,Mobilitie2,Washington Street,Charles Lane,Charles Street,Manhattan,Streetlight Pole,,,,,,,Jan-28-2018,Yes
15597,1009192,169856,40.632857,-73.910138,B,Crown Castle NG East LLC,E 80th St,Paerdegat 3rd St,Avenue K,Brooklyn,Utility Pole,,,,,,,Nov-09-2017,No
15599,1000939,241701,40.830073,-73.939694,C,"Extenet Systems, Inc.",Edgecomb Ave,W 155th St,W 150th St,Manhattan,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15600,1003961,239798,40.824844,-73.92878,C,"Extenet Systems, Inc.",E 153rd St,Major Deagan Expy Exit,Major Deagan Service Rd,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15601,1015555,239945,40.825214,-73.886888,C,"Extenet Systems, Inc.",E 165th St,Whitlock Ave,Longfellow Ave,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15604,996013,222368,40.777017,-73.957528,A,Mobilitie2,Lexington Avenue,E 82nd Street,E 83rd Street,Manhattan,Mixed Traffic And Street Pole,,,,,,,Jan-28-2018,No
15606,985991,218439,40.766241,-73.993715,A,Mobilitie2,W 51st Street,11th Avenue,10th Avenue,Manhattan,Streetlight Pole,,,,,,,Jan-28-2018,Yes
15609,993639,213357,40.752287,-73.966112,A,Mobilitie2,E 48th Street,1st Avenue,FDR Drive,Manhattan,Streetlight Pole,,,,,,,Jan-28-2018,Yes
15612,1010480,244080,40.83658,-73.905209,C,"Extenet Systems, Inc.",Park Ave,St Pauls Pl,E 171st St,Bronx,Mixed Traffic And Street Pole,,,,,,,Dec-01-2017,Yes
15613,1015036,243020,40.833655,-73.888749,C,"Extenet Systems, Inc.",E 172nd St,Hoe Ave,Vyse Ave,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,No
15614,1006710,249435,40.851288,-73.918815,C,"Extenet Systems, Inc.",Popham Ave,Palisade Pl,W 176th St,Bronx,Streetlight Pole,,,,,,This pole is located within 20 feet of the following school: PS 109 SEDGWICK,Dec-01-2017,Yes
15615,1009836,253887,40.863499,-73.907498,C,"Extenet Systems, Inc.",Father Zeiser P,Webb ave,Devoe Terrace,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15616,1013128,254656,40.865599,-73.895594,C,"Extenet Systems, Inc.",E 193rd St,Grand Concourse,Creston Ave,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15617,1015099,256959,40.871914,-73.888457,C,"Extenet Systems, Inc.",Grand Concourse,Bedford Park Blvd,E 199th St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15618,1016392,256026,40.869348,-73.883786,C,"Extenet Systems, Inc.",Marion Ave,Bedford Park Blvd,E 201st St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15619,1015715,256045,40.869403,-73.886234,C,"Extenet Systems, Inc.",Bainbridge Ave,Bedford Park Blvd,E 198th St,Bronx,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15620,1020373,176381,40.650728,-73.86982,C,"Extenet Systems, Inc.",Gateway Drive,Site Dr,Erskine St,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15621,1008114,184143,40.672075,-73.913972,C,"Extenet Systems, Inc.",Eastern Pkwy,Thomas S Boyland St,Prospect Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15622,996110,164522,40.618243,-73.95728,B,"Mobilitie, LLC",Avenue M,E 18th Street,E 17th STreet,Brooklyn,Streetlight Pole,,,,,,,Nov-22-2017,Yes
15625,995035,176155,40.650175,-73.961133,B,Mobilitie2,Ocean Avenue,Church Avenue,St. Pauls Court,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,No
15626,993920,190613,40.68986,-73.965131,B,Mobilitie2,Hall Street,Dekalb Avenue,Willoughby Avenue,Brooklyn,Mixed Traffic And Street Pole,,,,,,This pole is located within 20 feet of the following school: PRATT INSTITUTE DEKALB HALL,Jan-08-2018,No
15628,981317,174386,40.645325,-74.010569,B,Mobilitie2,50th Street,5th Avenue,4th Avenue,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15629,983877,180010,40.660763,-74.001344,B,Mobilitie2,3rd Avenue,27th Street,26th Street,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15630,986442,166917,40.624825,-73.992104,B,Mobilitie2,16th Avenue,60th Street,61st Street,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15631,990387,181016,40.663522,-73.977879,B,Mobilitie2,Prospect Park West,11th Street,10th Street,Brooklyn,Streetlight Pole,,This pole is located within the following historic area: Park Slope Historic District,,,,,Jan-08-2018,No
15633,993353,190471,40.689471,-73.967176,B,Mobilitie2,Waverly Avenue,Dekalb Avenue,Lafayette Avenue,Brooklyn,Streetlight Pole,,This pole is located within the following historic area: Clinton Hill Historic District,,,,,Jan-08-2018,Yes
15635,984634,187591,40.681571,-73.998616,B,Mobilitie2,Clinton Street,Carroll Street,1st Place,Brooklyn,Traffic Light Pole,,,,,,,Jan-08-2018,Yes
15636,987411,190394,40.689264,-73.988602,B,Mobilitie2,Smith Street,State Street,Schermerhorn Street,Brooklyn,Mixed Traffic And Street Pole,,,,,,,Jan-08-2018,Yes
15638,997727,155211,40.592684,-73.951474,B,Mobilitie2,Avenue X,E 19th Street,E 18th Street,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,No
15639,989715,194610,40.700835,-73.98029,B,Mobilitie2,Navy Street,1st Avenue,York Street,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15640,990054,186951,40.679812,-73.979074,B,Mobilitie2,Baltic Street,Gregory Place,5th Avenue,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15641,998633,196332,40.705551,-73.948124,B,Mobilitie2,Lorimer Street,Boerum Street,Montrose Avenue,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15642,976088,172243,40.63944,-74.029409,B,Mobilitie2,Sedgwick Place,67th Street,Wakeman Place,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,Yes
15643,989058,153899,40.589092,-73.982689,B,Mobilitie2,Avenue X,W 13th Street,W 12th Street,Brooklyn,Streetlight Pole,,,,,,,Jan-08-2018,No
15645,1006543,183994,40.67167,-73.919636,C,"Extenet Systems, Inc.",Howard Ave,Park Pl,Sterling Pl,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15646,1008913,185650,40.676209,-73.911086,C,"Extenet Systems, Inc.",Atlantic Ave,Rockaway Ave,Pacific St,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15647,1009930,191639,40.692644,-73.907397,C,"Extenet Systems, Inc.",Knickerbocker Ave,Eldert St,Halsey St,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15648,1013289,182604,40.667835,-73.895323,C,"Extenet Systems, Inc.",Blake Ave,Sheffield Ave,Pennsylvania Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15650,1001632,186978,40.679871,-73.937332,C,"Extenet Systems, Inc.",Marcus Garvey Blvd,Fulton St,Decatur St,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
15651,1004925,187217,40.68052,-73.925458,C,"Extenet Systems, Inc.",Patchen Ave,Bainbridge St,Fulton Ave,Brooklyn,Streetlight Pole,,,,,,,Dec-01-2017,Yes
